est_year,season,survey_area,xmin_fit,xmax_fit,xmin_actual,xmax_actual,n,b,confMin,confMax,spectra_type,stdErr,C,area,area_titles,bot_temp,overall_avg_btemp,bot_temp_anom,total_weight_lb
1972,Fall,MAB,16,93425.68935443416,16.46114762259095,93425.68935443416,11644,-1.8340147242500735,-1.8490147242500736,-1.8190147242500736,bodymass,0.0076530612244898,8.42832716862215,Mid-Atlantic Bight,Mid-Atlantic Bight,13.83053682551337,14.421963910975771,-0.5914270854624029,143854.82892035495
1972,Fall,Northeast Shelf,16,93425.68935443416,16.207114167540052,93425.68935443416,57629,-1.3820911889180676,-1.3860911889180678,-1.3780911889180678,bodymass,0.00204081632653061,1.1437911307001802,Northeast Shelf,Northeast Shelf,10.392724446995055,10.635930429009806,-0.2432059820147483,358892050.3541527
1972,Fall,SNE,16,15625.91732325342,16.422642818796575,15625.91732325342,24109,-1.2945189280376608,-1.301518928037661,-1.2885189280376608,bodymass,0.00331632653061227,0.7674708049805568,Southern New England,Southern New England,12.355877414278858,11.91513307981422,0.4407443344646378,89089872.99419564
1972,Spring,GB,16,19543.715162647062,16.165611215386374,19543.715162647062,8369,-1.1779855896123086,-1.1879855896123088,-1.1679855896123086,bodymass,0.00510204081632659,0.4061681550138184,Georges Bank,Georges Bank,6.169319392217805,6.301109876470461,-0.13179048425265627,74814568.4980859
1972,Spring,GoM,16,18138.000880451254,16.57741962628756,18138.000880451254,13484,-1.1412993261066644,-1.1492993261066644,-1.1332993261066644,bodymass,0.00408163265306122,0.33194078878583044,Gulf of Maine,Gulf of Maine,6.1098683208929945,6.624192595080466,-0.5143242741874712,194843754.0329508
1972,Spring,MAB,16,16674.537933961186,16.359100052712552,16674.537933961186,44757,-2.1690159779056395,-2.180015977905639,-2.159015977905639,bodymass,0.00535714285714294,29.89404764567594,Mid-Atlantic Bight,Mid-Atlantic Bight,8.373492366582349,8.445150233826018,-0.07165786724366896,143854.82892035495
1972,Spring,Northeast Shelf,16,28719.86499781749,16.165611215386374,28719.86499781749,87853,-1.4672127202467948,-1.4702127202467945,-1.4642127202467945,bodymass,0.00153061224489796,1.759551050863952,Northeast Shelf,Northeast Shelf,6.786575805974508,6.972748924661886,-0.1861731186873783,358892050.3541527
1972,Spring,SNE,16,28719.86499781749,16.46114762259095,28719.86499781749,21518,-1.1401541138421123,-1.1461541138421123,-1.1341541138421125,bodymass,0.00306122448979597,0.31796580937882346,Southern New England,Southern New England,7.159681788987614,6.976838513185743,0.1828432758018712,89089872.99419564
1973,Fall,GB,16,20886.274607547613,16.207114167540052,20886.274607547613,12382,-1.1106025714948762,-1.1186025714948764,-1.1026025714948764,bodymass,0.00408163265306122,0.27439228136652033,Georges Bank,Georges Bank,11.11133018166698,11.364273827197954,-0.2529436455309728,83058537.08720696
1973,Fall,GoM,16,25760.488686139448,17.280075662834793,25760.488686139448,7626,-1.0991769781859395,-1.1091769781859393,-1.089176978185939,bodymass,0.00510204081632659,0.2514717635815989,Gulf of Maine,Gulf of Maine,6.859311343766963,7.58698901219138,-0.7276776684244171,215848774.6783184
1973,Fall,MAB,16,239237.42332289636,16.422642818796575,239237.42332289636,23178,-1.893126571979248,-1.904126571979248,-1.882126571979248,bodymass,0.00561224489795918,10.627367807280091,Mid-Atlantic Bight,Mid-Atlantic Bight,13.559520145780924,14.421963910975771,-0.8624437651948487,680625.1905651211
1973,Fall,Northeast Shelf,16,239237.42332289636,16.207114167540052,239237.42332289636,66956,-1.546362982708637,-1.550362982708637,-1.542362982708637,bodymass,0.00204081632653061,2.498321275857399,Northeast Shelf,Northeast Shelf,10.292008955497996,10.635930429009806,-0.34392147351180924,406857556.0977435
1973,Fall,SNE,16,13040.862019983126,16.46114762259095,13040.862019983126,23969,-1.7619504200028768,-1.7719504200028766,-1.7519504200028764,bodymass,0.00510204081632659,6.339314481706233,Southern New England,Southern New England,12.452633367303546,11.91513307981422,0.5375002874893262,107269619.14165306
1973,Spring,GB,16,34287.404259591465,16.165611215386374,34287.404259591465,17611,-1.1480617110485516,-1.1540617110485518,-1.1420617110485516,bodymass,0.00306122448979597,0.32885056667037654,Georges Bank,Georges Bank,6.11895856749009,6.301109876470461,-0.18215130898037124,83058537.08720696
1973,Spring,GoM,16,24218.154596176933,16.46114762259095,24218.154596176933,9465,-1.1091272782495625,-1.118127278249562,-1.100127278249562,bodymass,0.00459183673469382,0.26839663540908587,Gulf of Maine,Gulf of Maine,6.025237694943794,6.624192595080466,-0.5989549001366719,215848774.6783184
1973,Spring,MAB,16,18138.000880451254,16.46114762259095,18138.000880451254,67471,-1.3195768456218735,-1.3235768456218735,-1.3155768456218735,bodymass,0.00204081632653061,0.8667139937875532,Mid-Atlantic Bight,Mid-Atlantic Bight,8.165143340631099,8.445150233826018,-0.2800068931949191,680625.1905651211
1973,Spring,Northeast Shelf,16,34287.404259591465,16.165611215386374,34287.404259591465,150424,-1.2932600817096696,-1.295260081709669,-1.291260081709669,bodymass,0.00102040816326536,0.7392314257434769,Northeast Shelf,Northeast Shelf,6.6134891032150005,6.972748924661886,-0.3592598214468854,406857556.0977435
1973,Spring,SNE,16,26604.33787079039,16.165611215386374,26604.33787079039,56391,-1.2939091513247134,-1.2979091513247134,-1.2899091513247134,bodymass,0.00204081632653061,0.7485628252012508,Southern New England,Southern New England,6.7793031693639705,6.976838513185743,-0.19753534382177215,107269619.14165306
1974,Fall,GB,16,14729.973772314785,16.207114167540052,14729.973772314785,6100,-1.1705318169956591,-1.183531816995659,-1.1575318169956592,bodymass,0.00663265306122443,0.3978578838728674,Georges Bank,Georges Bank,11.947451697553316,11.364273827197954,0.5831778703553621,72658611.83584319
1974,Fall,GoM,16,22248.49588280608,17.103848684423838,22248.49588280608,8187,-1.1233490746292492,-1.1333490746292492,-1.113349074629249,bodymass,0.00510204081632659,0.2940825139555986,Gulf of Maine,Gulf of Maine,7.83618224452252,7.58698901219138,0.24919323233113919,241404157.37841457
1974,Fall,MAB,16,94587.09724698194,16.46114762259095,94587.09724698194,10139,-1.8993753232564312,-1.9163753232564311,-1.8823753232564315,bodymass,0.00867346938775505,10.891127367375669,Mid-Atlantic Bight,Mid-Atlantic Bight,14.425368031024426,14.421963910975771,0.00340412004865342,128052.84771289292
1974,Fall,Northeast Shelf,16,94587.09724698194,16.207114167540052,94587.09724698194,34257,-1.4666899339007446,-1.4716899339007448,-1.461689933900745,bodymass,0.00255102040816321,1.7321629280731567,Northeast Shelf,Northeast Shelf,10.965938710301463,10.635930429009806,0.3300082812916578,421592155.243087
1974,Fall,SNE,16,88809.66431938812,16.422642818796575,88809.66431938812,9979,-1.641607945676704,-1.6546079456767036,-1.6286079456767035,bodymass,0.00663265306122443,3.8156236342190426,Southern New England,Southern New England,12.398973753137264,11.91513307981422,0.48384067332304426,107401333.18111634
1974,Spring,GB,16,18132.33020077495,16.165611215386374,18132.33020077495,7517,-1.1021795479037386,-1.1131795479037387,-1.0911795479037387,bodymass,0.00561224489795918,0.2646334109345822,Georges Bank,Georges Bank,6.652356167125405,6.301109876470461,0.3512462906549443,72658611.83584319
1974,Spring,GoM,16,23120.714039517345,16.804182091613516,23120.714039517345,8567,-1.217221439988659,-1.2272214399886592,-1.207221439988659,bodymass,0.00510204081632659,0.49954558687960193,Gulf of Maine,Gulf of Maine,6.676917287050119,6.624192595080466,0.05272469196965357,241404157.37841457
1974,Spring,MAB,16,18138.000880451254,16.46114762259095,18138.000880451254,8399,-1.3175226641112423,-1.3285226641112422,-1.3065226641112422,bodymass,0.00561224489795918,0.8577267652116208,Mid-Atlantic Bight,Mid-Atlantic Bight,9.757143502883975,8.445150233826018,1.3119932690579592,128052.84771289292
1974,Spring,Northeast Shelf,16,24835.152438939065,16.165611215386374,24835.152438939065,43735,-1.2366113722489962,-1.240611372248996,-1.232611372248996,bodymass,0.00204081632653061,0.5532283254334226,Northeast Shelf,Northeast Shelf,7.532267479555242,6.972748924661886,0.5595185548933559,421592155.243087
1974,Spring,SNE,16,24835.152438939065,16.165611215386374,24835.152438939065,19647,-1.2436007606578448,-1.2506007606578449,-1.2366007606578449,bodymass,0.00357142857142857,0.5745812588616166,Southern New England,Southern New England,7.925970824137234,6.976838513185743,0.9491323109514918,107401333.18111634
1975,Fall,GB,16,17035.89202341077,16.207114167540052,17035.89202341077,13550,-1.2688780358201637,-1.2778780358201636,-1.2598780358201638,bodymass,0.00459183673469382,0.6693872610560745,Georges Bank,Georges Bank,12.165696408925882,11.364273827197954,0.8014225817279286,80273120.78027312
1975,Fall,GoM,16,19077.237380629973,16.46114762259095,19077.237380629973,15667,-1.1762450531333024,-1.1832450531333023,-1.1692450531333023,bodymass,0.00357142857142857,0.40291630376601817,Gulf of Maine,Gulf of Maine,8.141670059340697,7.58698901219138,0.5546810471493169,236489528.70292068
1975,Fall,MAB,16,72545.2989020561,16.46114762259095,72545.2989020561,9508,-1.433286785154407,-1.4432867851544071,-1.4232867851544069,bodymass,0.00510204081632659,1.4789890204103096,Mid-Atlantic Bight,Mid-Atlantic Bight,13.871879704777836,14.421963910975771,-0.550084206197937,5093.993941957444
