est_year,season,survey_area,xmin_fit,xmax_fit,xmin_actual,xmax_actual,n,b,confMin,confMax,spectra_type,stdErr,C,area_titles,bot_temp,region,total_weight_lb
1972,Fall,GoM,1,28960.756916286,0.1548757726287886,28960.756916286,13992,-0.9536745067814144,-0.9586745067814144,-0.9486745067814146,bodymass,0.00255102040816321,0.07600362226881145,Gulf of Maine,6.632571032794855,NA,171732809
1972,Fall,MAB,1,93425.68935443416,0.04477530764288502,93425.68935443416,11804,-1.1729069511385766,-1.1789069511385766,-1.167906951138577,bodymass,0.00280612244897956,0.2006393869601524,Mid-Atlantic Bight,10.835669157146352,NA,143855
1972,Fall,SNE,1,15625.91732325342,0.04477530764288502,15625.91732325342,26344,-1.0012775358192467,-1.0052775358192467,-0.9972775358192468,bodymass,0.00204081632653061,0.10419527416247762,Southern New England,11.739781467618466,NA,87231188
1972,Spring,GB,1,19543.715162647062,0.0937943326539252,19543.715162647062,8691,-0.9317856805558924,-0.9387856805558924,-0.9247856805558924,bodymass,0.00357142857142857,0.0709058165809352,Georges Bank,8.552153128640587,NA,70431928
1972,Spring,GoM,1,18138.000880451254,0.2960716094033669,18138.000880451254,14575,-0.9292173702076584,-0.9342173702076586,-0.9242173702076588,bodymass,0.00255102040816321,0.0706510701629078,Gulf of Maine,6.632571032794855,NA,171732809
1972,Spring,MAB,1,16674.537933961186,0.04692062830212058,16674.537933961186,47434,-1.1744920257746152,-1.177492025774615,-1.171492025774615,bodymass,0.00153061224489796,0.2136685476267777,Mid-Atlantic Bight,10.835669157146352,NA,143855
1972,Spring,SNE,1,28719.86499781749,0.07063890151527608,28719.86499781749,22148,-0.9272725236853432,-0.9312725236853434,-0.9232725236853434,bodymass,0.00204081632653061,0.06553461922975844,Southern New England,11.739781467618466,NA,87231188
1973,Fall,GB,1,20886.274607547613,0.00290464319396756,20886.274607547613,13864,-0.9464619252455176,-0.9514619252455176,-0.941461925245518,bodymass,0.00255102040816321,0.07613008178870607,Georges Bank,8.015564837659785,NA,78308866
1973,Fall,GoM,1,25760.488686139448,0.1548757726287886,25760.488686139448,8213,-0.9216937753044218,-0.9286937753044218,-0.9146937753044218,bodymass,0.00357142857142857,0.06444106478621674,Gulf of Maine,6.907363540843382,NA,182400954
1973,Fall,MAB,1,239237.42332289636,0.02511243272327328,239237.42332289636,24062,-1.203805480983185,-1.2078054809831849,-1.1998054809831848,bodymass,0.00204081632653061,0.2215576709194157,Mid-Atlantic Bight,10.237713556374068,NA,673049
1973,Fall,SNE,1,13040.862019983126,0.1548757726287886,13040.862019983126,26941,-1.1205408462452735,-1.1245408462452735,-1.1165408462452735,bodymass,0.00204081632653061,0.17703368632891908,Southern New England,11.370536842053127,NA,100274125
1973,Spring,GB,1,34287.404259591465,0.30976435376605593,34287.404259591465,18045,-0.9339761124656653,-0.9379761124656651,-0.92997611246566525,bodymass,0.00204081632653061,0.0665139264801066,Georges Bank,8.015564837659785,NA,78308866
1973,Spring,GoM,1,24218.154596176933,0.26932279165007506,24218.154596176933,9762,-0.9048531309311014,-0.9108531309311017,-0.8988531309311014,bodymass,0.00306122448979597,0.05898798505343739,Gulf of Maine,6.907363540843382,NA,182400954
1973,Spring,MAB,1,18138.000880451254,0.02511243272327328,18138.000880451254,67928,-0.9814560090917792,-0.9834560090917794,-0.9794560090917792,bodymass,0.00102040816326536,0.09298967962519196,Mid-Atlantic Bight,10.237713556374068,NA,673049
1973,Spring,SNE,1,26604.33787079039,0.2960716094033669,26604.33787079039,57841,-0.9938357928646302,-0.9958357928646302,-0.99183579286463,bodymass,0.00102040816326536,0.09509685695844444,Southern New England,11.370536842053127,NA,100274125
1974,Fall,GB,1,14729.973772314785,0.04477530764288502,14729.973772314785,13323,-1.2209004430216372,-1.2269004430216377,-1.2149004430216372,bodymass,0.00306122448979597,0.25102804626938063,Georges Bank,8.557825799600447,NA,67351418
1974,Fall,GoM,1,22248.49588280608,0.04477530764288502,22248.49588280608,9071,-0.9458420405280814,-0.9528420405280812,-0.9388420405280812,bodymass,0.00357142857142857,0.07525561122270319,Gulf of Maine,6.9470019411232515,NA,196596192
1974,Fall,MAB,1,94587.09724698194,0.04477530764288502,94587.09724698194,10449,-1.1853075676157032,-1.1913075676157032,-1.179307567615703,bodymass,0.00306122448979597,0.21049490650490824,Mid-Atlantic Bight,10.87131314066659,NA,105052
